model,repeat,fold,roc_auc,pr_auc
disease_mean,0,0,0.879820638633993,0.4247012380981634
disease_mean,0,1,0.8745571491253129,0.4683720924497068
disease_mean,0,2,0.8734666259390087,0.485067528993882
disease_mean,0,3,0.8720659456520705,0.47663740162706164
disease_mean,0,4,0.8684345586287135,0.4778633595205407
disease_mean,1,0,0.8734582553548375,0.4703881614259789
disease_mean,1,1,0.8694231981456155,0.4794259339293926
disease_mean,1,2,0.871831500530778,0.4482897113870383
disease_mean,1,3,0.8788364668340594,0.4879383050377691
disease_mean,1,4,0.8701677607744613,0.4410058809939596
disease_mean,2,0,0.8767200388382163,0.4880414637612581
disease_mean,2,1,0.8699458922684153,0.41805431708789675
disease_mean,2,2,0.865463331940456,0.4356901338415644
disease_mean,2,3,0.8703996122250368,0.4882928179693447
disease_mean,2,4,0.880069622634259,0.5029834161258067
disease_mean,3,0,0.8675733622151551,0.47980038718749995
disease_mean,3,1,0.8762101233235338,0.4570966040157624
disease_mean,3,2,0.874163160832237,0.45714408693000963
disease_mean,3,3,0.8763797045301666,0.44466274953518503
disease_mean,3,4,0.8704958689224916,0.4912181735248877
disease_mean,4,0,0.8712465971045804,0.4528551943066987
disease_mean,4,1,0.8780467171843561,0.4554528312383129
disease_mean,4,2,0.8749529789866768,0.48136165104717654
disease_mean,4,3,0.8666976020305355,0.45491086209597387
disease_mean,4,4,0.8738122553949889,0.4828861184394513
